Project;Package;Class;Method;Version;LOC;Statement;Cyclomatic;Cognitive;MethodHistories;AddedLines;MaxAddedLines;AvgAddedLines;DeletedLines;MaxDeletedLines;AvgDeletedLines;Churn;MaxChurn;AvgChurn;BranchPoints;NestingDepth;ParametersCount;Buggy
BOOKKEEPER;org.apache.hedwig.protocol;Builder;getUnsubscribeRequestOrBuilder;4.1.1;4;3;2;1;14;6;6;0,43;0;0;0,00;6;6;0,43;1;3;0;false
BOOKKEEPER;org.apache.hedwig.protocol;Builder;getUnsubscribeRequestOrBuilder;4.2.0;4;3;2;1;0;0;0;0,00;0;0;0,00;0;0;0,00;1;3;0;true
BOOKKEEPER;org.apache.hedwig.protocol;Builder;getUnsubscribeRequestOrBuilder;4.2.1;4;3;2;1;0;0;0;0,00;0;0;0,00;0;0;0,00;1;3;0;true
BOOKKEEPER;org.apache.hedwig.client.netty.impl.simple;SimpleSubscribeResponseHandler;consume;4.1.1;10;7;3;2;1;29;29;29,00;0;0;0,00;29;29;29,00;2;5;2;false
BOOKKEEPER;org.apache.hedwig.client.netty.impl.simple;SimpleSubscribeResponseHandler;consume;4.2.0;10;7;3;2;0;0;0;0,00;0;0;0,00;0;0;0,00;2;5;2;false
BOOKKEEPER;org.apache.hedwig.client.netty.impl.simple;SimpleSubscribeResponseHandler;consume;4.2.1;10;7;3;2;0;0;0;0,00;0;0;0,00;0;0;0,00;2;5;2;false
BOOKKEEPER;org.apache.bookkeeper.bookie;LedgerEntryPage;getLedger;4.0.0;0;0;0;0;3;4;2;2,00;1;1;0,50;5;3;2,50;0;0;0;false
BOOKKEEPER;org.apache.bookkeeper.bookie;LedgerEntryPage;getLedger;4.1.0;0;0;0;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0;false
BOOKKEEPER;org.apache.bookkeeper.bookie;LedgerEntryPage;getLedger;4.1.1;0;0;0;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0;false
BOOKKEEPER;org.apache.bookkeeper.bookie;LedgerEntryPage;getLedger;4.2.0;0;0;0;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0;false
BOOKKEEPER;org.apache.bookkeeper.bookie;LedgerEntryPage;getLedger;4.2.1;0;0;0;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0;false
BOOKKEEPER;org.apache.bookkeeper.proto;Builder;setDigestType;4.1.1;6;6;2;1;1;8;8;8,00;0;0;0,00;8;8;8,00;1;3;1;false
BOOKKEEPER;org.apache.bookkeeper.proto;Builder;setDigestType;4.2.0;6;6;2;1;0;0;0;0,00;0;0;0,00;0;0;0,00;1;3;1;false
BOOKKEEPER;org.apache.bookkeeper.proto;Builder;setDigestType;4.2.1;6;6;2;1;0;0;0;0,00;0;0;0,00;0;0;0,00;1;3;1;false
BOOKKEEPER;org.apache.hedwig.server.regions;RegionManager;operationFinished;4.0.0;2;2;2;1;10;60;58;15,00;2;1;0,50;62;58;15,50;1;2;2;true
BOOKKEEPER;org.apache.hedwig.server.regions;RegionManager;operationFinished;4.1.0;2;2;2;1;9;59;55;19,67;0;0;0,00;59;55;19,67;1;2;2;false
BOOKKEEPER;org.apache.hedwig.server.regions;RegionManager;operationFinished;4.1.1;2;2;2;1;6;11;8;5,50;11;8;5,50;22;16;11,00;1;2;2;false
BOOKKEEPER;org.apache.hedwig.server.regions;RegionManager;operationFinished;4.2.0;2;2;2;1;0;0;0;0,00;0;0;0,00;0;0;0,00;1;2;2;true
BOOKKEEPER;org.apache.hedwig.server.regions;RegionManager;operationFinished;4.2.1;2;2;2;1;0;0;0;0,00;0;0;0,00;0;0;0,00;1;2;2;true
BOOKKEEPER;org.apache.hedwig.server.meta;ZkMetadataManagerFactory;format;4.1.1;8;5;4;3;1;11;11;11,00;0;0;0,00;11;11;11,00;3;3;2;false
BOOKKEEPER;org.apache.hedwig.server.meta;ZkMetadataManagerFactory;format;4.2.0;8;5;4;3;0;0;0;0,00;0;0;0,00;0;0;0,00;3;3;2;true
